"Запрос","URL","Тип","Намерение","Роль","Источник","Частотность_не_суммировать","География","Приоритет","Ограничение_назначения","Доказательство"
"как заказать минивэн в яндекс такси екатеринбург","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","37","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"заказ такси минивэн в екатеринбурге","https://zakazminivena.ru/cities/ekaterinburg","Города","Принять решение о заказе: Минивэн с водителем в Екатеринбурге.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","15","Екатеринбург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"минивэн такси екатеринбург заказать недорого в екатеринбурге","https://zakazminivena.ru/cities/ekaterinburg","Города","Принять решение о заказе: Минивэн с водителем в Екатеринбурге.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","9","Екатеринбург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн тюмень","https://zakazminivena.ru/cities/tyumen","Города","Принять решение о заказе: Минивэн с водителем в Тюмени.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","8","Екатеринбург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси аэропорт минивэн","https://zakazminivena.ru/service/airport-transfer","Сценарии","Принять решение о заказе: Минивэн в аэропорт — трансфер с табличкой и фикс ценой.","Расширение","Wordstat · наблюдаемая фраза 15.09","8","Екатеринбург","P1","Общий аэропортовый сценарий; проверить нераспознанную географию; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"тариф минивэн в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","8","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"места в минивэне яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","7","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"можно ли в яндекс такси заказать минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","7","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"как выбрать минивэн в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","6","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"минивэн яндекс такси машины","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","5","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн 5 человек","https://zakazminivena.ru/minivan-5-mest","Вместимость","Принять решение о заказе: Минивэн на 5 человек с водителем.","Расширение","Wordstat · наблюдаемая фраза 15.09","5","Екатеринбург","P1","Вместимость; проверить необходимость отдельных 5/6/7 кластеров по выдаче; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"заказать такси минивэн 7 мест","https://zakazminivena.ru/minivan-7-mest","Вместимость","Принять решение о заказе: Минивэн на 7 человек с водителем.","Расширение","Wordstat · наблюдаемая фраза 15.09","5","Екатеринбург","P1","Вместимость; проверить необходимость отдельных 5/6/7 кластеров по выдаче; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн 7 мест","https://zakazminivena.ru/minivan-7-mest","Вместимость","Принять решение о заказе: Минивэн на 7 человек с водителем.","Расширение","Wordstat · наблюдаемая фраза 15.09","5","Екатеринбург","P1","Вместимость; проверить необходимость отдельных 5/6/7 кластеров по выдаче; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"как в яндекс такси вызвать минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","5","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"заказать такси минивэн в аэропорт","https://zakazminivena.ru/service/airport-transfer","Сценарии","Принять решение о заказе: Минивэн в аэропорт — трансфер с табличкой и фикс ценой.","Расширение","Wordstat · наблюдаемая фраза 15.09","4","Екатеринбург","P1","Общий аэропортовый сценарий; проверить нераспознанную географию; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн 6 человек","https://zakazminivena.ru/minivan-6-mest","Вместимость","Принять решение о заказе: Минивэн на 6 человек с водителем.","Расширение","Wordstat · наблюдаемая фраза 15.09","3","Екатеринбург","P1","Вместимость; проверить необходимость отдельных 5/6/7 кластеров по выдаче; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"есть ли в яндекс такси минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","3","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"яндекс такси минивэн сколько","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","3","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"как заказать минивэн через яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","3","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"как выбрать тариф минивэн в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"можно ли в яндекс такси вызвать минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"почему в яндекс такси нет минивэнов","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"сколько мест в минивэне яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"сколько пассажирских мест в минивэне яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн казань","https://zakazminivena.ru/cities/kazan","Города","Принять решение о заказе: Минивэн с водителем в Казани.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси калининград аэропорт минивэн","https://zakazminivena.ru/airport/kgd","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Калининград ( KGD ).","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P2","Именованный аэропорт; уточнить точку назначения; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн адлер","https://zakazminivena.ru/cities/sochi","Города","Принять решение о заказе: Минивэн с водителем в Сочи.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн межгород","https://zakazminivena.ru/service/intercity","Сценарии","Принять решение о заказе: Межгород на минивэне — с водителем по России.","Расширение","Wordstat · наблюдаемая фраза 15.09","2","Екатеринбург","P1","Общий межгород; проверить нераспознанную географию; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн челябинск","https://zakazminivena.ru/cities/chelyabinsk","Города","Принять решение о заказе: Минивэн с водителем в Челябинске.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","1","Екатеринбург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"какие минивэны в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","1","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"минивэн в яндекс такси какие машины","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","1","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн москва","https://zakazminivena.ru/cities/moskva","Города","Принять решение о заказе: Минивэн с водителем в Москве.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","1","Екатеринбург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн с детскими креслами в москве","https://zakazminivena.ru/cities/moskva","Города","Принять решение о заказе: Минивэн с водителем в Москве.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","1","Екатеринбург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"яндекс такси как заказать тариф минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","1","Екатеринбург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"такси минивэн","https://zakazminivena.ru/","Главная","Принять решение о заказе: Заказать минивэн с водителем межгород и аэропорт.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","166","Новосибирск","P1","Общий коммерческий вход; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"яндекс такси минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","72","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"такси минивэн новосибирск","https://zakazminivena.ru/cities/novosibirsk","Города","Принять решение о заказе: Минивэн с водителем в Новосибирске.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","36","Новосибирск","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"заказать такси минивэн","https://zakazminivena.ru/","Главная","Принять решение о заказе: Заказать минивэн с водителем межгород и аэропорт.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","33","Новосибирск","P1","Общий коммерческий вход; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"яндекс такси минивэн сколько","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","16","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"минивэн яндекс такси машины","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","12","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"места в минивэне яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","12","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"сколько мест в минивэне яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","10","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"как заказать минивэн в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","9","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"тариф минивэн в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","7","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"минивэн в такси сколько мест машине яндекс","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","5","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"минивэн яндекс такси сколько пассажиров","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","5","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"минивэн яндекс такси сколько пассажиров мест","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","5","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"какие минивэны в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","4","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"минивэны для яндекс такси какие подходят","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","3","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"сколько человек в минивэне яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","3","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"яндекс такси минивэн какие машины подходят","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","3","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"минивэн в яндекс такси какие машины","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","2","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"такси минивэн 7 мест","https://zakazminivena.ru/minivan-7-mest","Вместимость","Принять решение о заказе: Минивэн на 7 человек с водителем.","Расширение","Wordstat · наблюдаемая фраза 15.09","2","Новосибирск","P1","Вместимость; проверить необходимость отдельных 5/6/7 кластеров по выдаче; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"как в яндекс такси вызвать минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","2","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"вместимость минивэна в яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","1","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"такси минивэн 6 мест","https://zakazminivena.ru/minivan-6-mest","Вместимость","Принять решение о заказе: Минивэн на 6 человек с водителем.","Расширение","Wordstat · наблюдаемая фраза 15.09","1","Новосибирск","P1","Вместимость; проверить необходимость отдельных 5/6/7 кластеров по выдаче; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"такси минивэн межгород","https://zakazminivena.ru/service/intercity","Сценарии","Принять решение о заказе: Межгород на минивэне — с водителем по России.","Расширение","Wordstat · наблюдаемая фраза 15.09","1","Новосибирск","P1","Общий межгород; проверить нераспознанную географию; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"яндекс гоу такси минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","1","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"заказать такси минивэн 7 мест","https://zakazminivena.ru/minivan-7-mest","Вместимость","Принять решение о заказе: Минивэн на 7 человек с водителем.","Расширение","Wordstat · наблюдаемая фраза 15.09","1","Новосибирск","P1","Вместимость; проверить необходимость отдельных 5/6/7 кластеров по выдаче; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"классификатор яндекс такси тариф минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","1","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"яндекс такси тариф минивэн какие машины","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","1","Новосибирск","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-18.json"
"такси минивэн","https://zakazminivena.ru/","Главная","Принять решение о заказе: Заказать минивэн с водителем межгород и аэропорт.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","922","Санкт-Петербург","P1","Общий коммерческий вход; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-19.json"
"яндекс такси минивэн","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","342","Санкт-Петербург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-19.json"
"такси минивэн спб","https://zakazminivena.ru/cities/spb","Города","Принять решение о заказе: Минивэн с водителем в Санкт-Петербурге.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","169","Санкт-Петербург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-19.json"
"яндекс такси минивэн сколько","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","133","Санкт-Петербург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-19.json"
"заказать такси минивэн","https://zakazminivena.ru/","Главная","Принять решение о заказе: Заказать минивэн с водителем межгород и аэропорт.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","126","Санкт-Петербург","P1","Общий коммерческий вход; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-19.json"
"места в минивэне яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","84","Санкт-Петербург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-19.json"
"сколько мест в минивэне яндекс такси","https://zakazminivena.ru/yandex-taxi-minivan","Доверие и сервис","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Wordstat · наблюдаемая фраза 15.09","82","Санкт-Петербург","P1","Информационный / брендовый: проверить содержание, не смешивать с рекламой предзаказа; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-19.json"
"такси минивэн санкт петербург","https://zakazminivena.ru/cities/spb","Города","Принять решение о заказе: Минивэн с водителем в Санкт-Петербурге.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","60","Санкт-Петербург","P1","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-19.json"
